iter	Passed	Remaining
681	10132	4724
682	10147	4709
683	10161	4694
684	10175	4679
685	10189	4664
686	10204	4649
687	10218	4634
688	10233	4619
689	10247	4604
690	10262	4589
691	10276	4573
692	10290	4558
693	10305	4543
694	10319	4528
695	10334	4513
696	10349	4499
697	10363	4484
698	10378	4469
699	10393	4454
700	10407	4439
701	10422	4424
702	10437	4409
703	10451	4394
704	10467	4379
705	10481	4364
706	10495	4349
707	10510	4335
708	10525	4320
709	10540	4305
710	10555	4290
711	10570	4275
712	10584	4260
713	10599	4245
714	10613	4230
715	10628	4215
716	10642	4200
717	10657	4185
718	10672	4170
719	10686	4155
720	10700	4140
721	10715	4126
722	10730	4111
723	10745	4096
724	10759	4081
725	10774	4066
726	10788	4051
727	10803	4036
728	10817	4021
729	10832	4006
730	10847	3991
731	10862	3976
732	10876	3962
733	10891	3947
734	10906	3932
735	10920	3917
736	10935	3902
737	10949	3887
738	10963	3872
739	10977	3857
740	10993	3842
741	11007	3827
742	11021	3812
743	11036	3797
744	11051	3782
745	11065	3767
746	11080	3752
747	11094	3737
748	11108	3722
749	11123	3707
750	11139	3693
751	11154	3678
752	11168	3663
753	11183	3648
754	11197	3633
755	11212	3618
756	11226	3603
757	11242	3589
758	11256	3574
759	11271	3559
760	11285	3544
761	11299	3529
762	11314	3514
763	11329	3499
764	11344	3484
765	11358	3469
766	11373	3454
767	11387	3440
768	11402	3425
769	11417	3410
770	11432	3395
771	11446	3380
772	11461	3365
773	11475	3350
774	11489	3335
775	11504	3320
776	11519	3306
777	11533	3291
778	11547	3276
779	11561	3261
780	11576	3246
781	11591	3231
782	11606	3216
783	11620	3201
784	11634	3186
785	11649	3171
786	11664	3156
787	11678	3141
788	11692	3126
789	11706	3111
790	11721	3096
791	11736	3082
792	11751	3067
793	11766	3052
794	11781	3037
795	11795	3023
796	11811	3008
797	11826	2993
798	11841	2978
799	11856	2964
800	11871	2949
801	11885	2934
802	11900	2919
803	11914	2904
804	11928	2889
805	11943	2874
806	11957	2859
807	11972	2844
808	11986	2829
809	12000	2814
810	12014	2799
811	12029	2785
812	12043	2770
813	12058	2755
814	12073	2740
815	12088	2725
816	12102	2710
817	12117	2695
818	12131	2680
819	12146	2666
820	12161	2651
821	12175	2636
822	12189	2621
823	12204	2606
824	12219	2591
825	12233	2577
826	12248	2562
827	12262	2547
828	12277	2532
829	12292	2517
830	12307	2502
831	12321	2488
832	12336	2473
833	12351	2458
834	12366	2443
835	12381	2428
836	12395	2413
837	12409	2399
838	12424	2384
839	12439	2369
840	12453	2354
841	12468	2339
842	12482	2324
843	12497	2309
844	12511	2295
845	12526	2280
846	12540	2265
847	12554	2250
848	12569	2235
849	12584	2220
850	12599	2205
851	12613	2191
852	12628	2176
853	12643	2161
854	12657	2146
855	12672	2131
856	12686	2116
857	12700	2102
858	12715	2087
859	12729	2072
860	12744	2057
861	12759	2042
862	12773	2027
863	12788	2012
864	12802	1998
865	12817	1983
866	12832	1968
867	12847	1953
868	12861	1938
869	12876	1924
870	12890	1909
871	12905	1894
872	12919	1879
873	12934	1864
874	12949	1849
875	12963	1835
876	12978	1820
877	12992	1805
878	13006	1790
879	13021	1775
880	13036	1760
881	13050	1745
882	13065	1731
883	13079	1716
884	13094	1701
885	13109	1686
886	13123	1671
887	13137	1656
888	13152	1642
889	13167	1627
890	13181	1612
891	13196	1597
892	13211	1582
893	13225	1568
894	13240	1553
895	13254	1538
896	13269	1523
897	13284	1508
898	13298	1494
899	13313	1479
900	13328	1464
901	13342	1449
902	13357	1434
903	13372	1420
904	13386	1405
905	13401	1390
906	13416	1375
907	13430	1360
908	13444	1345
909	13458	1331
910	13473	1316
911	13488	1301
912	13503	1286
913	13518	1271
914	13532	1257
915	13546	1242
916	13561	1227
917	13576	1212
918	13590	1197
919	13605	1183
920	13619	1168
921	13633	1153
922	13648	1138
923	13663	1123
924	13678	1109
925	13692	1094
926	13707	1079
927	13722	1064
928	13736	1049
929	13751	1035
930	13766	1020
931	13780	1005
932	13794	990
933	13809	975
934	13824	961
935	13838	946
936	13853	931
937	13867	916
938	13882	901
939	13897	887
940	13912	872
941	13927	857
942	13942	842
943	13956	827
944	13971	813
945	13985	798
946	14000	783
947	14014	768
948	14028	753
949	14043	739
950	14057	724
951	14071	709
952	14086	694
953	14101	679
954	14115	665
955	14130	650
956	14144	635
957	14160	620
958	14174	606
959	14189	591
960	14204	576
961	14218	561
962	14233	546
963	14248	532
964	14262	517
965	14277	502
966	14291	487
967	14306	472
968	14320	458
969	14335	443
970	14349	428
971	14364	413
972	14379	399
973	14395	384
974	14410	369
975	14425	354
976	14440	339
977	14455	325
978	14469	310
979	14484	295
980	14499	280
981	14513	266
982	14528	251
983	14542	236
984	14556	221
985	14571	206
986	14585	192
987	14600	177
988	14615	162
989	14629	147
990	14644	132
991	14658	118
992	14676	103
993	14691	88
994	14706	73
995	14720	59
996	14735	44
997	14750	29
998	14765	14
999	14779	0
